smiles, logK
[Eu+3].CC(=O)CC(=O)c1ccccc1, 6.89
[Ce+3].OC(=O)COc1ccccc1OCC(O)=O, 4.16
[Eu+3].OC(=O)COc1ccccc1OCC(O)=O, 4.6
[Tb+3].OC(=O)COc1ccccc1OCC(O)=O, 4.3
[Dy+3].OC(=O)COc1ccccc1OCC(O)=O, 4.26
[Er+3].OC(=O)COc1ccccc1OCC(O)=O, 3.92
[Gd+3].OC(=O)COc1ccccc1OCC(O)=O, 4.48
[Ho+3].OC(=O)COc1ccccc1OCC(O)=O, 4.11
[Lu+3].OC(=O)COc1ccccc1OCC(O)=O, 4.04
[Nd+3].OC(=O)COc1ccccc1OCC(O)=O, 4.45
[Pr+3].OC(=O)COc1ccccc1OCC(O)=O, 4.36
[Sm+3].OC(=O)COc1ccccc1OCC(O)=O, 4.57
[Tm+3].OC(=O)COc1ccccc1OCC(O)=O, 3.94
[Yb+3].OC(=O)COc1ccccc1OCC(O)=O, 4.02
[Ce+3].CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=O, 5.5
[Eu+3].O.Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O, 4.5
[Dy+3].O.Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O, 4.57
[Nd+3].O.Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O, 4.09
[Tm+3].O.Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O, 4.46
[Ce+3].O.Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O, 4.25
[Eu+3].O.Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O, 4.65
[Pr+3].O.Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O, 4.3
[Eu+3].O.Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O, 4.63
[Eu+3].O.Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O, 5.62
[Dy+3].O.Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O, 4.7
[Nd+3].O.Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O, 4.22
[Tm+3].O.Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O, 4.59
[Ce+3].NC1=NC(=O)c2ncn(C3OC(CO[P](O)(O)=O)C(O)C3O)c2N1, 5.16
[Eu+3].NC1=NC(=O)c2ncn(C3OC(CO[P](O)(O)=O)C(O)C3O)c2N1, 5.26
[Pr+3].NC1=NC(=O)c2ncn(C3OC(CO[P](O)(O)=O)C(O)C3O)c2N1, 5.35
[Lu+3].Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O, 11.92
[Eu+3].Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O, 6.86
