Cmplx_smiles_neutral_std,Lg K1
NC(Cc1cnc[nH]1)C(=O)O.[La+3], 4.1
NC(Cc1cnc[nH]1)C(=O)O.[Pr+3], 4.36
NC(Cc1cnc[nH]1)C(=O)O.[Nd+3], 4.4
NC(Cc1cnc[nH]1)C(=O)O.[Sm+3], 4.46
NC(Cc1cnc[nH]1)C(=O)O.[Gd+3], 4.39
NC(Cc1cnc[nH]1)C(=O)O.[Dy+3], 4.4
NC(Cc1cnc[nH]1)C(=O)O.[Er+3], 4.49
NC(Cc1cnc[nH]1)C(=O)O.[Yb+3], 4.23
NC(Cc1ccccc1)C(=O)O.[La+3], 4.01
NC(Cc1ccccc1)C(=O)O.[La+3], 2.78
NC(Cc1ccccc1)C(=O)O.[La+3], 3.8
NC(Cc1ccccc1)C(=O)O.[Ce+3], 2.95
NC(Cc1ccccc1)C(=O)O.[Pr+3], 4.35
NC(Cc1ccccc1)C(=O)O.[Pr+3], 3.13
NC(Cc1ccccc1)C(=O)O.[Nd+3], 4.59
NC(Cc1ccccc1)C(=O)O.[Nd+3], 3.22
NC(Cc1ccccc1)C(=O)O.[Nd+3], 4.2
NC(Cc1ccccc1)C(=O)O.[Sm+3], 4.77
NC(Cc1ccccc1)C(=O)O.[Sm+3], 3.46
NC(Cc1ccccc1)C(=O)O.[Eu+3], 3.55
NC(Cc1ccccc1)C(=O)O.[Gd+3], 3.47
NC(Cc1ccccc1)C(=O)O.[Gd+3], 4.25
NC(Cc1ccccc1)C(=O)O.[Tb+3], 3.61
NC(Cc1ccccc1)C(=O)O.[Tb+3], 4.3
NC(Cc1ccccc1)C(=O)O.[Dy+3], 3.67
NC(Cc1ccccc1)C(=O)O.[Ho+3], 3.73
NC(Cc1ccccc1)C(=O)O.[Er+3], 3.77
NC(Cc1ccccc1)C(=O)O.[Er+3], 4.35
NC(Cc1ccccc1)C(=O)O.[Tm+3], 3.88
NC(Cc1ccccc1)C(=O)O.[Yb+3], 3.98
NC(Cc1ccccc1)C(=O)O.[Lu+3], 3.99
NC(Cc1ccccc1)C(=O)O.[Lu+3], 4.45
NC(Cc1ccccc1)C(=O)O.[Y+3], 3.49
NC(Cc1c[nH]c2ccccc12)C(=O)O.[La+3], 4.45
NC(Cc1c[nH]c2ccccc12)C(=O)O.[La+3], 4.4
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Ce+3], 4.56
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Pr+3], 4.52
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Nd+3], 4.45
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Nd+3], 4.5
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Sm+3], 4.75
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Eu+3], 6.78
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Eu+3], 4.82
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Gd+3], 5
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Gd+3], 4.8
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Tb+3], 5
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Tb+3], 4.8
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Dy+3], 4.83
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Ho+3], 4.86
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Er+3], 5.1
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Er+3], 5
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Yb+3], 5.11
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Lu+3], 5.2
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Lu+3], 5.1
NC(Cc1ccc(O)cc1)C(=O)O.[Yb+3], 5
O=C(O)c1ccccc1O.[La+3], 7.43
O=C(O)c1ccccc1O.[La+3], 9.64
O=C(O)c1ccccc1O.[La+3], 7.43
O=C(O)c1ccccc1O.[Ce+3], 7.63
O=C(O)c1ccccc1O.[Ce+3], 7.66
O=C(O)c1ccccc1O.[Pr+3], 7.81
O=C(O)c1ccccc1O.[Pr+3], 7.86
O=C(O)c1ccccc1O.[Nd+3], 8.07
O=C(O)c1ccccc1O.[Nd+3], 8.26
O=C(O)c1ccccc1O.[Sm+3], 8.07
O=C(O)c1ccccc1O.[Sm+3], 8.48
O=C(O)c1ccccc1O.[Gd+3], 9.98
O=C(O)c1ccccc1O.[Gd+3], 8.62
O=C(O)c1ccccc1O.[Tb+3], 10.11
O=C(O)c1ccccc1O.[Dy+3], 10.26
O=C(O)c1ccccc1O.[Y+3], 8.68
O=S(=O)([O-])[O-].[La+3], 0.8
O=S(=O)([O-])[O-].[La+3], 1.29
O=S(=O)([O-])[O-].[La+3], 1.45
O=S(=O)([O-])[O-].[La+3], 1.77
O=S(=O)([O-])[O-].[La+3], 1.4
O=S(=O)([O-])[O-].[Ce+3], 1.25
O=S(=O)([O-])[O-].[Ce+3], 1.57
O=S(=O)([O-])[O-].[Ce+4], 4.78
O=S(=O)([O-])[O-].[Ce+3], 1.75
O=S(=O)([O-])[O-].[Ce+3], 1.24
O=S(=O)([O-])[O-].[Ce+3], 1.94
O=S(=O)([O-])[O-].[Ce+3], 1.78
O=S(=O)([O-])[O-].[Pr+3], 1.27
O=S(=O)([O-])[O-].[Nd+3], 1.26
O=S(=O)([O-])[O-].[Sm+3], 1.3
O=S(=O)([O-])[O-].[Sm+3], 1.88
O=S(=O)([O-])[O-].[Eu+3], 1.88
O=S(=O)([O-])[O-].[Eu+3], 1.53
O=S(=O)([O-])[O-].[Eu+3], 1.37
O=S(=O)([O-])[O-].[Eu+3], 1.72
O=S(=O)([O-])[O-].[Eu+3], 1.54
O=S(=O)([O-])[O-].[Gd+3], 1.33
O=S(=O)([O-])[O-].[Gd+3], 1.9
O=S(=O)([O-])[O-].[Tb+3], 1.38
O=S(=O)([O-])[O-].[Tb+3], 1.27
O=S(=O)([O-])[O-].[Tb+3], 1.59
O=S(=O)([O-])[O-].[Dy+3], 1.23
O=S(=O)([O-])[O-].[Ho+3], 1.24
O=S(=O)([O-])[O-].[Er+3], 1.23
O=S(=O)([O-])[O-].[Tm+3], 1.15
O=S(=O)([O-])[O-].[Yb+3], 1.26
O=S(=O)([O-])[O-].[Yb+3], 1.15
O=S(=O)([O-])[O-].[Lu+3], 1.09
O=S(=O)([O-])[O-].[Lu+3], 1.29
O=S(=O)([O-])[O-].[Sc+3], 2.59
O=S(=O)([O-])[O-].[Sc+3], 1.66
O=S(=O)([O-])[O-].[Y+3], 1.24
NC(=O)CC(N)C(=O)O.[Ce+3], 3.52
NC(=O)CC(N)C(=O)O.[Ce+3], 5.14
NC(=O)CC(N)C(=O)O.[Pr+3], 3.5
NC(=O)CC(N)C(=O)O.[Y+3], 5.46
NC(=O)CC[C@H](N)C(=O)O.[Ce+3], 3.72
NC(=O)CC[C@H](N)C(=O)O.[Pr+3], 3.45
[Br-].[Ce+3], -0.2
[Br-].[Eu+3], -0.2
[Br-].[Eu+3], 0.21
[Br-].[Sc+3], 1.21
[Br-].[Y+3], -0.15
[Br-].[Y+3], 0.45
[Eu+3].[I-], -0.3
[Eu+3].[I-], 0.24
NC(CC(=O)O)C(=O)O.[La+3], 5.61
NC(CC(=O)O)C(=O)O.[La+3], 5.3
NC(CC(=O)O)C(=O)O.[La+3], 5.3
