smiles, logK
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Pr+3]<-O2C([H])([H])[H], 2.63
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[La+3]<-O2C([H])([H])[H], 2.45
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Cu+2]<-O2C([H])([H])[H], 2.05
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Eu+3]<-O2C([H])([H])[H], 2.72
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Dy+3]<-O2C([H])([H])[H], 2.56
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Cd+2]<-O2C([H])([H])[H], 1.75
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Nd+3]<-O2C([H])([H])[H], 2.75
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Sm+3]<-O2C([H])([H])[H], 2.77
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Ho+3]<-O2C([H])([H])[H], 2.52
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Zn+2]<-O2C([H])([H])[H], 1.35
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Th+4]<-O2C([H])([H])[H], 4.60
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Gd+3]<-O2C([H])([H])[H], 2.62
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Er+3]<-O2C([H])([H])[H], 2.49
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Pb+2]<-O2C([H])([H])[H], 2.34
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Ni+2]<-O2C([H])([H])[H], 1.25
[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Tb+3]<-O2C([H])([H])[H], 2.60
[H]c1c([H])c([H])n(->[Cu+2])c([H])c1[H], 2.52
[H]c1c([H])c([H])n(->[Zn+2])c([H])c1[H], 1.03
[H]c1c([H])c([H])n(->[Ag+])c([H])c1[H], 2.06
[H]c1c([H])c([H])n(->[Cd+2])c([H])c1[H], 1.32
